attempt_index,time_hr,converged,volume_residual_ft3,energy_residual_btu,failure_reason,pattern,iterations,phase_fraction,bubble_phase,v_total_ft3,m_total_lbm,u_total_btu,operating_pmin_psia,operating_pmax_psia,hard_pmin_psia,hard_pmax_psia,bracket_low_psia,bracket_high_psia,v_residual_low_ft3,v_residual_high_ft3,sign_low,sign_high,regime_low,regime_high,bracket_windows,valid_evals,invalid_evals,nan_evals,out_of_range_evals,bracket_found,bracket_trace
1,7.835870,1,-0.959998,0.000000,NONE,MONOTONIC_DESCENT,2,0.000000,DRAIN,1800.000000,93822.910000,38723180.000000,334.700000,2349.700000,20.000000,2800.000000,363.458700,364.215900,21.869660,-0.911255,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.286 Pmax=381.632 status_low=OK status_high=OK Vres_low=800.302 Vres_high=-1.163 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
2,7.838647,1,-0.060138,0.000000,NONE,MONOTONIC_DESCENT,4,0.000023,DRAIN,1800.000000,93735.760000,38703540.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,20.835010,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=797.900 Vres_high=-2.609 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
3,7.838647,0,-0.060138,0.000000,NONE,MONOTONIC_DESCENT,4,0.000023,DRAIN,1800.000000,93735.760000,38703540.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,20.835010,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=797.900 Vres_high=-2.609 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
4,7.841425,1,0.853993,0.000000,NONE,BOUNDED_OSCILLATORY,4,0.000045,DRAIN,1800.000000,93648.620000,38683890.000000,334.700000,2349.700000,20.000000,2800.000000,364.548000,365.307500,21.710750,-3.831787,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=346.321 Pmax=382.775 status_low=OK status_high=OK Vres_low=797.562 Vres_high=-4.056 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
5,7.844203,1,-0.137700,0.000000,NONE,MONOTONIC_DESCENT,2,0.000050,DRAIN,1800.000000,93561.490000,38664230.000000,334.700000,2349.700000,20.000000,2800.000000,365.070100,365.830700,22.588810,-5.301147,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=346.817 Pmax=383.324 status_low=OK status_high=OK Vres_low=797.216 Vres_high=-5.501 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
6,7.846980,1,0.776167,4.000000,NONE,BOUNDED_OSCILLATORY,4,0.000073,DRAIN,1800.000000,93474.380000,38644560.000000,334.700000,2349.700000,20.000000,2800.000000,365.640600,366.402300,21.572170,-6.752075,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=347.359 Pmax=383.923 status_low=OK status_high=OK Vres_low=794.850 Vres_high=-6.948 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
7,7.849758,1,-0.191575,0.000000,NONE,MONOTONIC_DESCENT,2,0.000078,DRAIN,1800.000000,93387.270000,38624890.000000,334.700000,2349.700000,20.000000,2800.000000,366.164200,366.927100,22.458040,-7.717003,1,-1,SATURATED_MIX,SATURATED_MIX,1,51,0,0,0,1,[OPERATING:1] Pmin=347.856 Pmax=384.473 status_low=OK status_high=OK Vres_low=794.536 Vres_high=-8.394 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
8,7.852535,1,0.734013,0.000000,NONE,BOUNDED_OSCILLATORY,4,0.000101,DRAIN,1800.000000,93300.170000,38605200.000000,334.700000,2349.700000,20.000000,2800.000000,366.736400,367.500400,21.449090,-8.661787,1,-1,SATURATED_MIX,SATURATED_MIX,1,51,0,0,0,1,[OPERATING:1] Pmin=348.400 Pmax=385.073 status_low=OK status_high=OK Vres_low=792.178 Vres_high=-9.840 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
9,7.855313,1,-0.218145,0.000000,NONE,MONOTONIC_DESCENT,2,0.000106,DRAIN,1800.000000,93213.090000,38585500.000000,334.700000,2349.700000,20.000000,2800.000000,367.261700,368.026800,22.350670,-7.727280,1,-1,SATURATED_MIX,SATURATED_MIX,1,51,0,0,0,1,[OPERATING:1] Pmin=348.899 Pmax=385.625 status_low=OK status_high=OK Vres_low=791.867 Vres_high=-11.285 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
10,7.858090,1,0.710901,0.000000,NONE,BOUNDED_OSCILLATORY,4,0.000129,DRAIN,1800.000000,93126.010000,38565780.000000,334.700000,2349.700000,20.000000,2800.000000,367.835500,368.601800,21.369460,-8.656519,1,-1,SATURATED_MIX,SATURATED_MIX,1,51,0,0,0,1,[OPERATING:1] Pmin=349.444 Pmax=386.227 status_low=OK status_high=OK Vres_low=789.544 Vres_high=-12.731 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
