time_hr,startup_hold_active,heater_mode,heater_power_mw,pressure_psia,pzr_level_pct,spray_active,spray_flow_gpm,bubble_phase
0.000000,1,OFF,0.000000,114.700000,100.000000,0,1.500000,NONE
0.002778,1,OFF,0.000000,114.664700,100.000000,0,0.000000,NONE
0.005556,1,OFF,0.000000,114.629500,100.000000,0,0.000000,NONE
0.008333,0,OFF,0.000000,114.594200,100.000000,0,0.000000,NONE
0.011111,0,OFF,0.000000,114.558900,100.000000,0,0.000000,NONE
0.013889,0,OFF,0.000000,114.523600,100.000000,0,0.000000,NONE
0.016667,0,OFF,0.000000,114.488400,100.000000,0,0.000000,NONE
0.019444,0,OFF,0.000000,114.847500,100.000000,0,0.000000,NONE
0.022222,0,OFF,0.000000,115.206500,100.000000,0,0.000000,NONE
0.025000,0,OFF,0.000000,115.565600,100.000000,0,0.000000,NONE
0.027778,0,OFF,0.000000,115.924700,100.000000,0,0.000000,NONE
0.030556,0,OFF,0.000000,116.283800,100.000000,0,0.000000,NONE
0.033333,0,STARTUP_FULL_POWER,1.794000,116.858600,100.000000,0,0.000000,NONE
0.036111,0,STARTUP_FULL_POWER,1.794000,117.564500,100.000000,0,0.000000,NONE
0.038889,0,STARTUP_FULL_POWER,1.794000,118.349900,100.000000,0,0.000000,NONE
0.041667,0,STARTUP_FULL_POWER,1.794000,119.183800,100.000000,0,0.000000,NONE
0.044444,0,STARTUP_FULL_POWER,1.794000,120.047200,100.000000,0,0.000000,NONE
0.047222,0,STARTUP_FULL_POWER,1.794000,120.928700,100.000000,0,0.000000,NONE
0.050000,0,STARTUP_FULL_POWER,1.794000,121.821300,100.000000,0,0.000000,NONE
0.052778,0,STARTUP_FULL_POWER,1.794000,122.720600,100.000000,0,0.000000,NONE
0.055556,0,STARTUP_FULL_POWER,1.794000,123.624300,100.000000,0,0.000000,NONE
0.058333,0,STARTUP_FULL_POWER,1.794000,124.530700,100.000000,0,0.000000,NONE
0.061111,0,STARTUP_FULL_POWER,1.794000,125.438800,100.000000,0,0.000000,NONE
