time_hr,pressure_psia,orifice75_count,orifice45_open,lineup_index,drain_policy,drain_letdown_gpm,drain_charging_gpm,drain_net_outflow_gpm
7.833092,363.458700,1,0,1,LINEUP_HYDRAULIC_CAUSAL,0.000000,0.000000,0.000000
7.835870,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.838647,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.841425,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.844203,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.846980,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.849758,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.852535,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.855313,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.858090,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.860868,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.863646,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.866423,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.869201,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.871978,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.874756,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.877533,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.880311,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.883089,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.885866,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.888644,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.891421,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.894199,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.896976,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.899754,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.902532,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.905309,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.908087,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.910864,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.913642,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.916420,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.919197,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.921975,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.924752,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.927530,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.930307,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.933085,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.935863,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.938640,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.941418,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.944195,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.946973,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.949750,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.952528,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.955306,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.958083,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.960861,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.963638,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.966416,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.969193,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.971971,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.974749,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.977526,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.980304,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.983081,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.985859,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.988636,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.991414,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.994192,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.996969,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
7.999747,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.002524,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.005302,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.008080,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.010859,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.013637,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.016415,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.019193,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.021971,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.024749,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.027527,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.030305,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.033083,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.035861,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.038639,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.041417,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.044195,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.046973,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.049751,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.052529,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.055307,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.058085,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.060863,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.063642,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.066420,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.069198,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.071976,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.074754,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.077532,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.080310,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.083088,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.085866,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.088644,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.091422,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.094200,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.096978,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.099756,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.102534,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.105312,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.108090,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.110868,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.113647,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.116425,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.119203,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.121981,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.124759,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.127537,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.130315,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.133093,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.135871,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.138649,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.141427,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.144205,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.146983,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.149761,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.152539,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.155317,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.158095,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.160873,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.163651,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.166430,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.169208,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.171986,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.174764,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.177542,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.180320,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.183098,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.185876,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.188654,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.191432,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.194210,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.196988,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.199766,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.202544,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.205322,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.208100,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.210878,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.213656,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.216434,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.219213,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.221991,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.224769,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.227547,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.230325,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.233103,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.235881,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.238659,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
8.241437,363.458700,2,1,3,LINEUP_HYDRAULIC_CAUSAL,75.000000,0.000000,75.000000
