time_hr,pzr_level_pct,rvlis_dynamic,rvlis_full,rvlis_upper,rvlis_dynamic_valid,rvlis_full_valid,rvlis_upper_valid,drain_net_outflow_gpm,surge_gpm
7.833092,100.000000,40.000000,100.000000,100.000000,0,1,1,0.000000,3.527722
7.835870,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.838647,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.841425,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.844203,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.846980,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.849758,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.852535,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.855313,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.858090,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.860868,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.863646,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.866423,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.869201,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.871978,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.874756,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.877533,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.880311,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.883089,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.885866,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.888644,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.891421,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.894199,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.896976,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.899754,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.902532,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.905309,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.908087,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.910864,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.913642,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
