time_hr,pzr_mass_lbm,pzr_total_enthalpy_btu,liquid_occupancy_pct,pressure_psia,pzr_temp_f,net_pzr_heat_mw,charging_gpm,letdown_gpm,surge_gpm,net_cvcs_gpm,startup_hold_active,spray_active,spray_flow_gpm,heater_power_mw,last_failure_reason
0.000000,110527.200000,10120390.000000,100.000000,114.700000,120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1.500000,0.000000,NONE
0.002778,110527.200000,10120390.000000,100.000000,114.664700,119.999800,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.005556,110527.200000,10120390.000000,100.000000,114.629500,119.999500,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.008333,110527.200000,10120390.000000,100.000000,114.594200,119.999300,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.011111,110527.200000,10120390.000000,100.000000,114.558900,119.999100,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.013889,110527.200000,10120390.000000,100.000000,114.523600,119.998800,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.016667,110527.200000,10120390.000000,100.000000,114.488400,119.998600,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.019444,110527.200000,10120390.000000,100.000000,114.453100,119.998300,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.022222,110527.200000,10120390.000000,100.000000,114.417800,119.998100,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.025000,110527.200000,10120390.000000,100.000000,114.382600,119.997900,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.027778,110527.200000,10120390.000000,100.000000,114.347300,119.997600,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.030556,110527.200000,10120390.000000,100.000000,114.312000,119.997400,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.033333,110527.200000,10120390.000000,100.000000,114.276700,119.997200,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.036111,110527.200000,10120390.000000,100.000000,114.241500,119.996900,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.038889,110527.200000,10120390.000000,100.000000,114.206200,119.996700,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.041667,110527.200000,10120390.000000,100.000000,114.170900,119.996500,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.044444,110527.200000,10120390.000000,100.000000,114.135700,119.996200,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.047222,110527.200000,10120390.000000,100.000000,114.100400,119.996000,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.050000,110527.200000,10120390.000000,100.000000,114.065100,119.995700,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.052778,110527.200000,10120390.000000,100.000000,114.029900,119.995500,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.055556,110527.200000,10120390.000000,100.000000,113.994600,119.995300,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.058333,110527.200000,10120390.000000,100.000000,113.959300,119.995000,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.061111,110527.200000,10120390.000000,100.000000,113.924000,119.994800,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.063889,110527.200000,10120390.000000,100.000000,113.888800,119.994600,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.066667,110527.200000,10120390.000000,100.000000,113.853500,119.994300,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.069444,110527.200000,10120390.000000,100.000000,113.818200,119.994100,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.072222,110527.200000,10120390.000000,100.000000,113.783000,119.993900,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.075000,110527.200000,10120390.000000,100.000000,113.747700,119.993600,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.077778,110527.200000,10120390.000000,100.000000,113.712400,119.993400,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.080556,110527.200000,10120390.000000,100.000000,113.677100,119.993100,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.083333,110527.200000,10120390.000000,100.000000,113.641900,119.992900,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.086111,110527.200000,10120390.000000,100.000000,113.606600,119.992700,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.088889,110527.200000,10120390.000000,100.000000,113.571400,119.992400,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.091667,110527.200000,10120390.000000,100.000000,113.536100,119.992200,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.094444,110527.200000,10120390.000000,100.000000,113.500800,119.992000,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.097222,110527.200000,10120390.000000,100.000000,113.465600,119.991700,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.100000,110527.200000,10120390.000000,100.000000,113.430300,119.991500,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.102778,110527.200000,10120390.000000,100.000000,113.395000,119.991200,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.105556,110527.200000,10120390.000000,100.000000,113.359800,119.991000,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.108333,110527.200000,10120390.000000,100.000000,113.324500,119.990800,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.111111,110527.200000,10120390.000000,100.000000,113.289200,119.990500,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.113889,110527.200000,10120390.000000,100.000000,113.254000,119.990300,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.116667,110527.200000,10120390.000000,100.000000,113.218700,119.990100,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.119444,110527.200000,10120390.000000,100.000000,113.183500,119.989800,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.122222,110527.200000,10120390.000000,100.000000,113.148200,119.989600,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.125000,110527.200000,10120390.000000,100.000000,113.112900,119.989400,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.127778,110527.200000,10120390.000000,100.000000,113.077700,119.989100,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.130556,110527.200000,10120390.000000,100.000000,113.042400,119.988900,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.133333,110527.200000,10120390.000000,100.000000,113.007100,119.988600,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.136111,110527.200000,10120390.000000,100.000000,112.971900,119.988400,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.138889,110527.200000,10120390.000000,100.000000,112.936600,119.988200,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.141667,110527.200000,10120390.000000,100.000000,112.901400,119.987900,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
0.144445,110527.200000,10120390.000000,100.000000,112.866100,119.987700,0.000000,0.000000,0.000000,-0.002698,0.000000,1,0,0.000000,0.000000,NONE
