time_hr,pzr_level_pct,rvlis_dynamic,rvlis_full,rvlis_upper,rvlis_dynamic_valid,rvlis_full_valid,rvlis_upper_valid,drain_net_outflow_gpm,surge_gpm
7.833092,100.000000,40.000000,100.000000,100.000000,0,1,1,0.000000,3.527722
7.835870,99.945270,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.838647,99.861400,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.841425,99.777500,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.844203,99.696450,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.846980,99.612550,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.849758,99.531460,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.852535,99.447540,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.855313,99.366420,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.858090,99.282500,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.860868,99.201380,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.863646,99.117440,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.866423,99.036290,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.869201,98.952330,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.871978,98.871190,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.874756,98.787170,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.877533,98.705990,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.880311,98.621990,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.883089,98.540800,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.885866,98.459630,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.888644,98.375580,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.891421,98.294360,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
