time_hr,pzr_level_pct,rvlis_dynamic,rvlis_full,rvlis_upper,rvlis_dynamic_valid,rvlis_full_valid,rvlis_upper_valid,drain_net_outflow_gpm,surge_gpm
7.833092,100.000000,40.000000,100.000000,100.000000,0,1,1,0.000000,3.527722
7.835870,100.000000,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.838647,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.841425,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.844203,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.846980,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.849758,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.852535,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.855313,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.858090,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.860868,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.863646,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.866423,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.869201,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.871978,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.874756,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.877533,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.880311,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.883089,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.885866,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.888644,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.891421,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.894199,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.896976,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.899754,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.902532,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.905309,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.908087,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.910864,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
7.913642,99.944870,40.000000,100.000000,100.000000,0,1,1,75.000000,0.000000
