step,time_hr,pressure_psia,pzr_level_pct,primary_mass_lb
161,0.447223067,201.071442,100,816886.4
162,0.450000852,201.562,100,816887.75
163,0.452778637,202.052551,100,816889.1
164,0.455556422,202.543121,100,816890.5
165,0.4583342,203.033676,100,816891.9
166,0.461112,203.524246,100,816893.25
167,0.463889778,204.014832,100,816894.6
168,0.466667563,204.5054,100,816896
169,0.469445348,204.995987,100,816897.4
170,0.472223133,205.486588,100,816898.75
171,0.475000918,205.977158,100,816900.1
172,0.4777787,206.467743,100,816901.5
173,0.4805565,206.958344,100,816902.9
174,0.483334273,207.448959,100,816904.25
175,0.486112058,207.93956,100,816905.6
176,0.488889843,208.430176,100,816907
177,0.491667628,208.9208,100,816908.4
178,0.4944454,209.4114,100,816909.75
179,0.4972232,209.902023,100,816911.1
180,0.500000954,210.392654,100,816912.5
181,0.5027787,210.8833,100,816913.9
182,0.505556464,211.373932,100,816915.25
183,0.5083342,211.864578,100,816916.6
184,0.511112,212.35524,100,816918
185,0.51388973,212.845871,100,816919.4
186,0.5166675,213.336517,100,816920.75
187,0.51944524,213.827179,100,816922.1
188,0.522223,214.317856,100,816923.5
189,0.525000751,214.808517,100,816924.9
190,0.5277785,215.2992,100,816926.25
191,0.530556262,215.789841,100,816927.6
192,0.533334,216.280548,100,816929
193,0.5361118,216.771225,100,816930.4
194,0.5388895,217.261917,100,816931.75
195,0.5416673,217.7526,100,816933.1
196,0.544445038,218.243286,100,816934.5
197,0.5472228,218.734,100,816935.9
198,0.550000548,219.224716,100,816937.25
199,0.5527783,219.715408,100,816938.6
200,0.555556059,220.206116,100,816940
201,0.5583338,220.696838,100,816941.4
202,0.561111569,221.187546,100,816942.75
203,0.5638893,221.678268,100,816944.1
204,0.5666671,222.169,100,816945.5
205,0.569444835,222.65976,100,816946.9
206,0.5722226,223.150482,100,816948.25
207,0.575000346,223.641251,100,816949.6
208,0.5777781,224.131973,100,816951
209,0.580555856,224.622711,100,816952.4
210,0.5833336,225.113464,100,816953.75
211,0.586111367,225.604233,100,816955.1
212,0.5888891,226.095016,100,816956.5
213,0.5916669,226.585739,100,816957.9
214,0.594444633,227.076538,100,816959.25
215,0.5972224,227.567291,100,816960.6
216,0.600000143,228.05806,100,816962
217,0.6027779,228.548843,100,816963.4
218,0.605555654,229.039642,100,816964.75
219,0.6083334,229.530457,100,816966.1
220,0.611111164,230.02121,100,816967.5
221,0.6138889,230.512039,100,816968.9
222,0.6166667,231.002823,100,816970.25
223,0.61944443,231.493622,100,816971.6
224,0.6222222,231.984436,100,816973
225,0.62499994,232.475266,100,816974.4
226,0.6277777,232.9661,100,816975.75
227,0.630555451,233.456879,100,816977.1
228,0.6333332,233.947739,100,816978.5
229,0.636110961,234.438553,100,816979.9
230,0.6388887,234.929382,100,816981.25
231,0.6416665,235.420227,100,816982.6
232,0.6444442,235.911072,100,816984
233,0.647222,236.401932,100,816985.4
234,0.649999738,236.8928,100,816986.75
235,0.6527775,237.383636,100,816988.1
236,0.655555248,237.874481,100,816989.5
237,0.658333,238.365326,100,816990.9
238,0.661110759,238.856186,100,816992.25
239,0.6638885,239.347061,100,816993.6
240,0.666666269,239.837952,100,816995
241,0.669444,240.328857,100,816996.4
242,0.6722218,240.819717,100,816997.75
243,0.674999535,241.310577,100,816999.1
244,0.6777773,241.801529,100,817000.5
245,0.680555046,242.292419,100,817001.9
246,0.6833328,242.783325,100,817003.25
247,0.686110556,243.274246,100,817004.6
248,0.6888883,243.7651,100,817006
249,0.691666067,244.256058,100,817007.4
250,0.6944438,244.746948,100,817008.75
251,0.6972216,245.237854,100,817010.1
252,0.699999332,245.728775,100,817011.5
253,0.7027771,246.219711,100,817012.9
254,0.705554843,246.710663,100,817014.25
255,0.7083326,247.20163,100,817015.6
256,0.711110353,247.692535,100,817017
257,0.7138881,248.183533,100,817018.4
258,0.716665864,248.674469,100,817019.75
259,0.7194436,249.165421,100,817021.1
260,0.7222214,249.656387,100,817022.5
261,0.7249991,250.147369,100,817023.9
