attempt_index,time_hr,converged,volume_residual_ft3,energy_residual_btu,failure_reason,pattern,iterations,phase_fraction,bubble_phase,v_total_ft3,m_total_lbm,u_total_btu,operating_pmin_psia,operating_pmax_psia,hard_pmin_psia,hard_pmax_psia,bracket_low_psia,bracket_high_psia,v_residual_low_ft3,v_residual_high_ft3,sign_low,sign_high,regime_low,regime_high,bracket_windows,valid_evals,invalid_evals,nan_evals,out_of_range_evals,bracket_found,bracket_trace
21,7.888644,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
22,7.891421,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
23,7.894199,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
24,7.896976,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
25,7.899754,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
26,7.902532,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
27,7.905309,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
28,7.908087,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
29,7.910864,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
30,7.913642,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
31,7.916420,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
32,7.919197,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
33,7.921975,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
34,7.924752,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
35,7.927530,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
36,7.930307,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
37,7.933085,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
38,7.935863,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
39,7.938640,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
40,7.941418,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
41,7.944195,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
42,7.946973,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
43,7.949750,0,0.366843,0.000000,MASS_CONTRACT_RESIDUAL,BOUNDED_OSCILLATORY,4,0.000027,DRAIN,1800.000000,93735.760000,38703840.000000,334.700000,2349.700000,20.000000,2800.000000,364.026600,364.785000,21.262520,-2.362427,1,-1,SATURATED_MIX,SATURATED_LIQUID_LIMIT,1,51,0,0,0,1,[OPERATING:1] Pmin=345.825 Pmax=382.228 status_low=OK status_high=OK Vres_low=798.347 Vres_high=-2.605 sign_low=1 sign_high=-1 regime_low=SATURATED_MIX regime_high=SUBCOOLED_LIQUID source=BUBBLE_DRAIN_MASS_CLOSURE
