time_hr,pressure_psia,orifice75_count,orifice45_open,lineup_prev,lineup_curr,lineup_event,lineup_event_count,lineup_event_prev,lineup_event_new,lineup_event_trigger,lineup_event_reason,lineup_demand,drain_policy,drain_demand_gpm,drain_hydraulic_capacity_gpm,drain_letdown_saturated,drain_letdown_gpm,drain_expected_gpm,drain_charging_gpm,drain_net_outflow_gpm,drain_deltaP_psi,drain_density_lbm_ft3,drain_quality,d_achieved_gpm,d_capacity_gpm,d_deltaP_psi,d_density,d_quality,delta_cause
7.833092,363.458700,1,0,1,1,0,0,1,1,NONE,NONE,1,LINEUP_HYDRAULIC_CAUSAL,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,DRAIN_ENTRY
7.835870,363.458700,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,120.000000,75.000000,1,75.000000,75.000000,0.000000,75.000000,8.758698,52.158740,0.000000,75.000000,75.000000,8.758698,52.158740,0.000000,SATURATION_FEEDBACK
7.838647,364.026600,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,120.000000,75.000000,1,75.000000,75.000000,0.000000,75.000000,8.758698,52.158740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NO_EFFECTIVE_DELTA
7.841425,364.026600,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.966900,75.000000,1,75.000000,75.000000,0.000000,75.000000,9.326599,52.152370,0.000004,0.000000,0.000000,0.567902,-0.006374,0.000004,NO_EFFECTIVE_DELTA
7.844203,364.026600,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.966900,75.000000,1,75.000000,75.000000,0.000000,75.000000,9.326599,52.152370,0.000027,0.000000,0.000000,0.000000,0.000000,0.000022,NO_EFFECTIVE_DELTA
7.846980,364.026600,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.966900,75.000000,1,75.000000,75.000000,0.000000,75.000000,9.326599,52.152370,0.000027,0.000000,0.000000,0.000000,0.000000,0.000000,NO_EFFECTIVE_DELTA
7.849758,364.026600,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.966900,75.000000,1,75.000000,75.000000,0.000000,75.000000,9.326599,52.152370,0.000027,0.000000,0.000000,0.000000,0.000000,0.000000,NO_EFFECTIVE_DELTA
7.852535,364.026600,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.966900,75.000000,1,75.000000,75.000000,0.000000,75.000000,9.326599,52.152370,0.000027,0.000000,0.000000,0.000000,0.000000,0.000000,NO_EFFECTIVE_DELTA
7.855313,364.026600,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.966900,75.000000,1,75.000000,75.000000,0.000000,75.000000,9.326599,52.152370,0.000027,0.000000,0.000000,0.000000,0.000000,0.000000,NO_EFFECTIVE_DELTA
7.858090,364.026600,1,0,1,1,0,0,1,1,NONE,NONE,3,LINEUP_HYDRAULIC_CAUSAL,119.966900,75.000000,1,75.000000,75.000000,0.000000,75.000000,9.326599,52.152370,0.000027,0.000000,0.000000,0.000000,0.000000,0.000000,NO_EFFECTIVE_DELTA
